,sex,race,age,degree,wrkstat,income,happy
0,Male,White,47,Bachelor,Working fulltime,Refused,Pretty happy
1,Male,White,61,High school,Working fulltime,$25000 or more,Pretty happy
2,Male,White,72,Bachelor,Retired,$25000 or more,Very happy
3,Female,White,43,High school,Working parttime,Refused,Pretty happy
4,Female,White,55,Graduate,Working parttime,Refused,Very happy
5,Female,White,53,Junior college,Keeping house,$25000 or more,Very happy
6,Male,White,50,High school,Working fulltime,Refused,Pretty happy
7,Female,Other,23,High school,Working parttime,$25000 or more,Very happy
8,Male,Black,45,High school,Working fulltime,$25000 or more,Pretty happy
9,Male,White,71,Junior college,Retired,$25000 or more,Pretty happy
10,Female,Black,33,High school,Keeping house,Lt $1000,Don't know
11,Female,White,86,High school,Retired,Lt $1000,Not too happy
12,Male,Black,32,High school,Working parttime,$8000 to 9999,Very happy
13,Female,Black,60,High school,Keeping house,$10000 - 14999,Very happy
14,Male,White,76,Lt high school,Temp not working,$25000 or more,Pretty happy
15,Female,White,33,High school,Working fulltime,$25000 or more,Pretty happy
16,Male,White,56,High school,Temp not working,$25000 or more,Very happy
17,Female,Other,62,Lt high school,Keeping house,$5000 to 5999,Pretty happy
18,Male,Black,31,Graduate,Working fulltime,$25000 or more,Pretty happy
19,Male,Black,43,High school,Working fulltime,$25000 or more,Pretty happy
20,Female,White,58,High school,Working fulltime,$25000 or more,Pretty happy
21,Female,Black,32,Lt high school,Temp not working,$25000 or more,Pretty happy
22,Female,Other,23,Lt high school,Working parttime,$20000 - 24999,Very happy
23,Female,White,37,High school,"Unempl, laid off",$25000 or more,Very happy
24,Female,White,25,Junior college,Working fulltime,$20000 - 24999,Pretty happy
25,Female,White,76,Lt high school,Retired,$5000 to 5999,Not too happy
26,Male,White,71,Graduate,Retired,Refused,Very happy
27,Male,Black,22,High school,Working parttime,Don't know,Not too happy
28,Male,White,74,Graduate,Retired,$25000 or more,Pretty happy
29,Female,White,75,High school,Retired,$25000 or more,Not too happy
30,Male,White,32,High school,"Unempl, laid off",$25000 or more,Not too happy
31,Female,White,68,High school,Working fulltime,$25000 or more,Pretty happy
32,Male,White,55,High school,Working fulltime,$25000 or more,Pretty happy
33,Male,Black,46,High school,Retired,$25000 or more,Pretty happy
34,Female,White,58,High school,"Unempl, laid off",$25000 or more,Not too happy
35,Male,White,35,High school,Working fulltime,$25000 or more,Not too happy
36,Male,White,59,Bachelor,Working parttime,$25000 or more,Not too happy
37,Female,White,43,Bachelor,Working fulltime,$25000 or more,Pretty happy
38,Female,White,58,Bachelor,Working fulltime,$25000 or more,Very happy
39,Female,White,79,High school,Retired,$25000 or more,Pretty happy
40,Female,White,40,High school,Working fulltime,$25000 or more,Pretty happy
41,Female,Other,44,High school,Working parttime,$25000 or more,Not too happy
42,Female,Other,68,Bachelor,Working parttime,$25000 or more,Pretty happy
43,Female,White,36,Graduate,Working fulltime,$25000 or more,Not too happy
44,Male,White,70,High school,Retired,$10000 - 14999,Very happy
45,Male,White,28,High school,Working fulltime,$25000 or more,Very happy
46,Female,Black,35,Bachelor,Working fulltime,Refused,Pretty happy
47,Male,Other,33,Graduate,Working fulltime,$25000 or more,Not too happy
48,Male,White,23,Bachelor,School,$25000 or more,Pretty happy
49,Female,White,47,Graduate,Working fulltime,$25000 or more,Very happy
50,Female,Other,25,Bachelor,Working fulltime,$25000 or more,Very happy
51,Female,White,70,High school,Retired,$25000 or more,Pretty happy
52,Male,White,20,High school,Working parttime,Don't know,Very happy
53,Male,White,41,Graduate,Working fulltime,Refused,Very happy
54,Female,White,53,Bachelor,Working parttime,Refused,Very happy
55,Female,White,42,Bachelor,Working parttime,$25000 or more,Pretty happy
56,Female,White,40,Graduate,Working fulltime,$25000 or more,Pretty happy
57,Female,White,57,Graduate,Working fulltime,$25000 or more,Pretty happy
58,Female,White,59,Graduate,Working fulltime,$8000 to 9999,Pretty happy
59,Female,White,35,Lt high school,"Unempl, laid off",$10000 - 14999,Pretty happy
60,Male,Black,26,High school,Working fulltime,$20000 - 24999,Pretty happy
61,Male,Black,35,High school,"Unempl, laid off",Lt $1000,Not too happy
62,Female,Black,51,High school,Other,$8000 to 9999,Don't know
63,Female,Black,39,High school,School,$25000 or more,Not too happy
64,Female,Other,27,High school,Keeping house,$1000 to 2999,Pretty happy
65,Male,Other,30,Lt high school,Working fulltime,$25000 or more,Pretty happy
66,Male,Other,29,High school,Working fulltime,$20000 - 24999,Pretty happy
67,Female,Black,39,Lt high school,Temp not working,Lt $1000,Not too happy
68,Female,Black,60,Lt high school,Other,Don't know,Pretty happy
69,Female,Other,74,Lt high school,Retired,$15000 - 19999,Not too happy
70,Female,Black,74,Lt high school,Retired,$10000 - 14999,Not too happy
71,Female,Black,57,Bachelor,Working fulltime,$25000 or more,Very happy
72,Male,Black,80,High school,Retired,$25000 or more,Pretty happy
73,Male,Black,70,High school,Retired,$20000 - 24999,Not too happy
74,Female,Black,35,Bachelor,Working parttime,$25000 or more,Very happy
75,Female,Black,49,Lt high school,Keeping house,Don't know,Not too happy
76,Female,White,36,Graduate,Working parttime,$25000 or more,Pretty happy
77,Female,Black,37,Graduate,Working fulltime,$25000 or more,Pretty happy
78,Female,White,78,Graduate,Retired,Refused,Very happy
79,Male,Black,41,High school,Working fulltime,Refused,Very happy
80,Male,Other,42,Junior college,Working fulltime,Refused,Pretty happy
81,Female,White,35,Junior college,Working fulltime,$25000 or more,Not too happy
82,Male,White,33,Bachelor,Working fulltime,$25000 or more,Very happy
83,Male,White,44,High school,Working fulltime,$25000 or more,Very happy
84,Male,White,41,Junior college,Working fulltime,$25000 or more,Pretty happy
85,Male,White,52,High school,Working fulltime,$25000 or more,Pretty happy
86,Female,White,45,Bachelor,Working fulltime,$25000 or more,Pretty happy
87,Female,Other,41,High school,Working fulltime,$20000 - 24999,Pretty happy
88,Female,White,41,High school,Working fulltime,$20000 - 24999,Very happy
89,Male,White,68,High school,Retired,Don't know,Pretty happy
90,Female,Black,57,High school,Keeping house,$20000 - 24999,Pretty happy
91,Male,Black,72,Graduate,Keeping house,$25000 or more,Very happy
92,Male,White,68,Graduate,Retired,$25000 or more,Pretty happy
93,Male,White,50,Bachelor,Working fulltime,$25000 or more,Pretty happy
94,Male,White,40,Graduate,Working fulltime,$25000 or more,Pretty happy
95,Male,White,58,High school,Working fulltime,$25000 or more,Pretty happy
96,Male,White,43,High school,Working fulltime,$20000 - 24999,Pretty happy
97,Male,Black,25,Bachelor,Working fulltime,$6000 to 6999,Very happy
98,Male,Other,33,Graduate,Working fulltime,$25000 or more,Pretty happy
99,Male,White,27,Bachelor,Working parttime,Refused,Pretty happy
100,Female,Black,58,Bachelor,Working fulltime,$25000 or more,Pretty happy
101,Female,White,66,High school,Retired,$25000 or more,Pretty happy
102,Male,White,66,High school,Retired,$1000 to 2999,Pretty happy
103,Female,White,89 or older,High school,Retired,Don't know,Pretty happy
104,Female,Other,29,Junior college,Working fulltime,$25000 or more,Pretty happy
105,Female,White,89 or older,Lt high school,Retired,$10000 - 14999,Pretty happy
106,Female,White,78,High school,Retired,$25000 or more,Pretty happy
107,Female,White,52,High school,"Unempl, laid off",$10000 - 14999,Not too happy
